"Source","Target","Subcategory Name","Elements of Subcategory","Specific Text from Privacy Policy"
"Service Providers","Basic Personal Details","Basic Personal Details","Date of Birth, Email Address, Telephone Number, Username, Password","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Profile Information","Profile Information","Profile Photo, Bio","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Identification Documents","Identification Documents","Proof of Identity, Proof of Age","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Device Contacts","Device Contacts","Names from Phone Book, Phone Numbers, Email Addresses","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Social Network Contacts","Social Network Contacts","Public Profile Information from Social Networks, Names and Profiles of Social Network Contacts","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Contacts Provided by Others","Contacts Provided by Others","Your Contact Information Synced by Other Users","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Media Content","Media Content","Photographs, Videos, Audio Recordings, Livestreams","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Textual Content","Textual Content","Comments, Hashtags, Feedback, Reviews","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Clipboard Content","Clipboard Content","Text, Images, and Videos from Device's Clipboard","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Content Metadata","Content Metadata","Creation Time and Date, Location of Content Creation, Creator Identity","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Direct Messages","Direct Messages","Message Content, Timestamps, Participants","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Merchant Communications","Merchant Communications","Chat with Merchants, Virtual Assistant Interactions during Purchases","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Support and Feedback","Support and Feedback","Inquiries, Feedback or Reports, Policy Violation Reports","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Payment Information","Payment Information","Payment Card Details, Billing Information, Payment Confirmation Details","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Purchase Details","Purchase Details","Items Purchased, Transaction Amounts, Purchase or Payment Dates","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Delivery Information","Delivery Information","Shipping Address, Delivery Status","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Device Information","Device Information","Device Model, Operating System, System Language, Device Identifiers (Device ID)","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Network Information","Network Information","IP Address, Network Type","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Technical Diagnostics","Technical Diagnostics","Crash Reports, Performance Logs, Keystroke Patterns or Rhythms","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
