Source,Target,Category,Kind,Subcategory Name,Elements of Subcategory,Specific Text from Privacy Policy
We (TikTok),Basic Personal Details,Personally Identifiable Information (PII),Information You Provide,Basic Personal Details,"Date of Birth, Username, Email Address, Telephone Number, Password","We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Profile Information,Personally Identifiable Information (PII),Information You Provide,Profile Information,"Bio, Profile Photo","You can add other information to your profile, such as a bio or a profile photo."
We (TikTok),Media Content,User-Generated Content,Information You Provide,Media Content,"Photographs, Videos, Audio Recordings, Livestreams","We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams"
We (TikTok),Textual Content,User-Generated Content,Information You Provide,Textual Content,"Comments, Hashtags, Feedback, Reviews","We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews"
We (TikTok),Content Metadata,User-Generated Content,Information You Provide,Content Metadata,"Creation Time and Date, Location of Content Creation, Creator Identity","We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Clipboard Content,User-Generated Content,Information You Provide,Clipboard Content,"Text, Images, and Videos from Device's Clipboard","We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform or share content between it and a third party platform."
We (TikTok),Location Tags in Content,Location Data,Automatically Collected Information,Location Tags in Content,"Tagged Locations in Posts (e.g., Tourist Attractions, Shops)","In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content."
We (TikTok),Direct Messages,Communication Data,Information You Provide,Direct Messages,"Message Content, Timestamps, Participants","If you communicate with others using direct messages, we collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication)."
We (TikTok),Merchant Communications,Communication Data,Information You Provide,Merchant Communications,"Chat with Merchants, Virtual Assistant Interactions during Purchases","We also collect the messages you send or receive through our chat functionality when communicating with merchants who sell goods to you, and your use of virtual assistants when purchasing items through the Platform."
We (TikTok),Device Contacts,Contact Information,Information You Provide,Device Contacts,"Names from Phone Book, Phone Numbers, Email Addresses","If you choose to sync your contacts, we will collect information from your device’s phone book such as names, phone numbers, and email addresses"
We (TikTok),Social Network Contacts,Contact Information,Information You Provide,Social Network Contacts,"Public Profile Information from Social Networks, Names and Profiles of Social Network Contacts","If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts."
We (TikTok),Contacts Provided by Others,Contact Information,Information You Provide,Contacts Provided by Others,Your Contact Information Synced by Other Users,We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
We (TikTok),Payment Information,Transaction and Financial Information,Information You Provide,Payment Information,"Payment Card Details, Billing Information","We collect information about the purchase or payment transaction, such as payment card information, billing"
We (TikTok),Purchase Details,Transaction and Financial Information,Information You Provide,Purchase Details,Items Purchased,"we collect information about the purchase or payment transaction, such as payment card information, billing, delivery, and contact information, and items you purchased."
