EdgeBetweenness,interaction,name,relationship,selected,shared interaction,shared name,text
64,-,we (-) personal datum relate to you,COLLECT,FALSE,-,we (-) personal datum relate to you,"We collect personal data relating to you (""Personal Data"") as described below:
We collect personal data relating to you (""Personal Data"") as described below:"
96,-,we (-) personal information,COLLECT,FALSE,-,we (-) personal information,"We collect personal data relating to you (""Personal Data"") as described below:
We collect personal data relating to you (""Personal Data"") as described below:
Personal Data You Provide : We collect the following Personal Data when you create an account or communicate with us-
Personal Data You Provide : We collect the following Personal Data when you create an account or communicate with us-
We may use Personal Data for the following purposes:
We may use Personal Data for the following purposes:
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
In certain circumstances we may disclose your Personal Data to: Government Authorities or Other Third Parties : We may share your Personal Data, including information about your interaction with our Services, with government authorities, industry peers, or other third parties in compliance with the law (i) if required to do so by law or in the good faith belief that such action is necessary to comply with a legal obligation, (ii) to protect and defend our rights or property, (iii) if we determine, in our sole discretion, that there is a violation of our terms, policies, or the law; (iv) to detect or prevent fraud or other illegal activity; (v) to protect the safety, security, and integrity of our products, employees, or users, or the public, or (vi) to protect against legal liability.
In certain circumstances we may disclose your Personal Data to: Government Authorities or Other Third Parties : We may share your Personal Data, including information about your interaction with our Services, with government authorities, industry peers, or other third parties in compliance with the law (i) if required to do so by law or in the good faith belief that such action is necessary to comply with a legal obligation, (ii) to protect and defend our rights or property, (iii) if we determine, in our sole discretion, that there is a violation of our terms, policies, or the law; (iv) to detect or prevent fraud or other illegal activity; (v) to protect the safety, security, and integrity of our products, employees, or users, or the public, or (vi) to protect against legal liability.
We may disclose Personal Data to our affiliates, meaning an entity that controls, is controlled by, or is under common control with OpenAI.
We may disclose Personal Data to our affiliates, meaning an entity that controls, is controlled by, or is under common control with OpenAI.
We may disclose Personal Data to our affiliates, meaning an entity that controls, is controlled by, or is under common control with OpenAI.
We'll retain your Personal Data for only as long as we need in order to provide our Service to you, or for other legitimate business purposes such as resolving disputes, safety and security reasons, or complying with our legal obligations.
We'll retain your Personal Data for only as long as we need in order to provide our Service to you, or for other legitimate business purposes such as resolving disputes, safety and security reasons, or complying with our legal obligations.
We will transfer your Personal Data to recipients outside of the EEA, Switzerland and the UK for the purposes described in this Privacy Policy.
We will transfer your Personal Data to recipients outside of the EEA, Switzerland and the UK for the purposes described in this Privacy Policy.
However_,_ we transfer Personal Data pursuant to applicable data protection laws.
However_,_ we transfer Personal Data pursuant to applicable data protection laws."
288,-,we (-) information associate with account,COLLECT,FALSE,-,we (-) information associate with account,"Account Information: When you create an account with us, we collect information associated with your account, including your name, contact information, account credentials, payment card information, and transaction history (collectively, ""Account Information"").
Account Information: When you create an account with us, we collect information associated with your account, including your name, contact information, account credentials, payment card information, and transaction history (collectively, ""Account Information"")."
128,-,we (-) account information,COLLECT,FALSE,-,we (-) account information,"Account Information: When you create an account with us, we collect information associated with your account, including your name, contact information, account credentials, payment card information, and transaction history (collectively, ""Account Information"").
Account Information: When you create an account with us, we collect information associated with your account, including your name, contact information, account credentials, payment card information, and transaction history (collectively, ""Account Information"")."
64,-,we (-) personal data include in input you provide to service,COLLECT,FALSE,-,we (-) personal data include in input you provide to service,"User Content: When you use our Services, we collect Personal Data that is included in the input, file uploads, or feedback that you provide to our Services (""Content"").
User Content: When you use our Services, we collect Personal Data that is included in the input, file uploads, or feedback that you provide to our Services (""Content"")."
64,-,we (-) person name,COLLECT,FALSE,-,we (-) person name,"Communication Information : If you communicate with us, we collect your name, contact information, and the contents of any messages you send (collectively, ""Communication Information"").
Communication Information : If you communicate with us, we collect your name, contact information, and the contents of any messages you send (collectively, ""Communication Information"")."
224,-,we (-) communication information,COLLECT,FALSE,-,we (-) communication information,"Communication Information : If you communicate with us, we collect your name, contact information, and the contents of any messages you send (collectively, ""Communication Information"").
Communication Information : If you communicate with us, we collect your name, contact information, and the contents of any messages you send (collectively, ""Communication Information"")."
96,-,we (-) personal data you choose,COLLECT,FALSE,-,we (-) personal data you choose,"When you interact with our social media pages, we collect Personal Data that you choose to provide to us, such as your contact details (collectively, ""Social Media Information"").
When you interact with our social media pages, we collect Personal Data that you choose to provide to us, such as your contact details (collectively, ""Social Media Information"")."
64,-,we (-) aggregate / deidentified / pseudonymized information,COLLECT,FALSE,-,we (-) aggregate / deidentified / pseudonymized information,"In addition, the companies that host our social media pages may provide us with aggregate information and analytics about our social media activity.
In addition, the companies that host our social media pages may provide us with aggregate information and analytics about our social media activity.
In addition, from time to time, we may share or publish aggregated information like general user statistics with third parties.
In addition, from time to time, we may share or publish aggregated information like general user statistics with third parties.
We collect this information through the Services, through cookies, and through other means described in this Privacy Policy.
We will maintain and use de-identified information in anonymous or de-identified form and we will not attempt to re-identify the information, unless required by law.
We will maintain and use de-identified information in anonymous or de-identified form and we will not attempt to re-identify the information, unless required by law."
64,-,we (-) information you provide to we,COLLECT,FALSE,-,we (-) information you provide to we,"2. Personal Data we collect

Other Information You Provide : We collect other information that you may provide to us, such as when you participate in our events or surveys or provide us with information to establish your age or identity (collectively, ""Other Information You Provide"").
2. Personal Data we collect

Other Information You Provide : We collect other information that you may provide to us, such as when you participate in our events or surveys or provide us with information to establish your age or identity (collectively, ""Other Information You Provide"")."
