Source,Target,Subcategory,Category,Kind,Text
We (TikTok),Date of Birth,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Username,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Email Address,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Telephone Number,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Password,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Profile Bio,Profile Information,Personally Identifiable Information,Information You Provide,"You can add other information to your profile, such as a bio or a profile photo."
We (TikTok),Profile Photo,Profile Information,Personally Identifiable Information,Information You Provide,"You can add other information to your profile, such as a bio or a profile photo."
We (TikTok),Photographs,Media Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Videos,Media Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Audio Recordings,Media Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Livestreams,Media Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Comments,Textual Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Hashtags,Textual Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Feedback,Textual Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Reviews,Textual Content,User-Generated Content,Information You Provide,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Creation Time,Content Metadata,User-Generated Content,Information You Provide,"We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Creation Date,Content Metadata,User-Generated Content,Information You Provide,"We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Location of Content Creation,Location Tags in Content,Location Data,Information You Provide,"We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Creator Identity,Content Metadata,User-Generated Content,Information You Provide,"We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Clipboard Text,Clipboard Content,User-Generated Content,Information You Provide,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Clipboard Images,Clipboard Content,User-Generated Content,Information You Provide,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Clipboard Videos,Clipboard Content,User-Generated Content,Information You Provide,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Location Information,Location Tags in Content,Location Data,Information You Provide,"In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content."
We (TikTok),Message Content,Direct Messages,Communication Data,Information You Provide,"If you communicate with others using direct messages, we collect the content of the message."
We (TikTok),Timestamps,Direct Messages,Communication Data,Information You Provide,"...and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication)."
