"Source","Target","Specific Text from Privacy Policy"
"Service Providers","Information You Provide, Automatically Collected Information, and Information From Other Sources","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Third Party Platforms and Partners","Information You Provide, Technical Information, and Usage Information","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform. We do this to give you a seamless experience, allow your content to be shared on other platforms, and/or enable third party platforms and partners to better authenticate users."
"Third Party Platforms","Basic account information and any other Information You Provide","If you log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide."
"Third Party Platforms","Certain Technical Information","If you sign-up or log-in to the Platform using your account details from a third party platform (such as Facebook or Google), we will share certain Technical Information to facilitate this."
"Other Social Media Platforms","Your User Content and related information","If you share User Content you publish on the Platform on other social media platforms, we will share your User Content and related information."
"Advertisers","Aggregate information about the performance of their ads and other content","We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness. We create this aggregate information using Information You Provide, Automatically Collected Information, and Information From Other Sources."
"Advertisers","Your information (with permission)","We share your information directly with advertisers where you give us your permission."
"Third Party Measurement Providers","Information You Provide, Technical Information, and Usage Information","We also share Information You Provide, Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Purchase Information related to the transaction","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers. For example, we will share the order items, contact details and delivery information so your order can be processed."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Certain Technical Information about your device or connection","We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction."
"Entities within our Corporate Group","Information You Provide, Automatically Collected Information, and Information From Other Sources","These entities process Information You Provide, Automatically Collected Information, and Information From Other Sources for us, as necessary to provide certain functions, such as storage, content delivery, security, research and development, analytics, online payments, customer and technical support, and content moderation."
"Other Users and the Public","Your Profile Information, User Content, and Usage Information","Based on your privacy settings, your information, including your Profile Information, User Content, and Usage Information may be visible to other users and the public."
"Search Engines, Content Aggregators, and News Sites","Your Profile Information and User Content","Depending on your privacy settings, your Profile Information and User Content may also appear on search engines, content aggregators, and news sites."
"Users of Our Analytics Services (People and Businesses)","Aggregated statistics and insights created using Information You Provide and Automatically Collected Information","We provide aggregated statistics and insights to help people and businesses understand how people are engaging with the Platform. For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"Independent Researchers","Your information","We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information."
"Corporate Transaction Parties","Your information","Your information may be disclosed to third parties in connection with a corporate transaction, such as a merger, sale of assets or shares, reorganisation, financing, change of control, or acquisition of all or a portion of our business."
"Law Enforcement Agencies, Public Authorities, Researchers, Copyright Holders, or Other Third Parties","The information described in 'What Information We Collect'","We may access, preserve, and share the information described in 'What Information We Collect' with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to: comply with applicable law, legal process or government requests, as consistent with internationally recognised standards; protect the rights, property, and safety of our users, copyright holders, and others, including to protect life or prevent imminent bodily harm..."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use your information to allow you to access and use the Platform, including allowing you to create and consume content, interact with others, utilise social features, and provide you with products and services you purchase. We also personalise certain features and content on the Platform, such as providing your 'For You' feed."
"TikTok (Internal Use)","Purchase Information","We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders. This includes sharing Purchase Information with Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation). This may include age restricting mature content, maintaining our For You feed eligibility standards, removing content or suspending or banning your account if we determine that you are violating our Terms or Guidelines."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use the information we have to administer the Platform, such as to communicate with you on service-related matters, provide you with updates and support regarding any purchase you make on or through the Platform, and respond to and process your queries, claims or disputes."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity)."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We use the information we have to understand how people are using the Platform and to develop, test, and make improvements to the Platform, including to develop and improve our technology, such as our machine learning models and algorithms."
"TikTok (Internal Use)","Information You Provide, Automatically Collected Information, and Information From Other Sources","We may send you direct marketing messages about features of the Platform and third-party services that we think will interest you. We may also send you promotions, contests, or marketing campaigns or event information."

