"Personal Identifiable Information","Date of Birth","User","Service Providers","We share Information You Provide...with these service providers as necessary to enable them to provide their services."
"Personal Identifiable Information","Email Address","User","Third Party Platforms and Partners","We share limited information which may include Information You Provide...with third party platforms and partners whose platform or services are integrated with the Platform."
"Personal Identifiable Information","Telephone Number","User","Service Providers","We share Information You Provide...with these service providers as necessary to enable them to provide their services."
"Personal Identifiable Information","Username","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Password","User","Corporate Group","These entities process Information You Provide...for us, as necessary to provide certain functions..."
"Personal Identifiable Information","Profile Photo","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Bio","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Proof of Identity","User","Legal Authorities","We may access, preserve, and share the information...with law enforcement agencies, public authorities...if we have good faith belief that it is necessary to comply with applicable law..."
"Personal Identifiable Information","Proof of Age","User","Platform Administration","We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age."
"Contact Information","Names from Phone Book","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Phone Numbers","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Email Addresses","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Social Network Contacts","Social Networks","Platform","If you choose to find other users through your social network contacts, we will collect your public profile information..."
"Contact Information","Your Contact Information Synced by Others","Other Users","Platform","We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user."
"User-Generated Content","Photographs","User","Users and the Public","Based on your privacy settings, your information, including your...User Content...may be visible to other users and the public."
"User-Generated Content","Videos","User","Service Providers","We engage service providers that help us provide, support, and develop the Platform..."
"User-Generated Content","Audio Recordings","User","Content Moderation Teams","We review User Content...through a mix of technology...and human moderation to protect the safety and well-being of our community."
