Source,Target,Category,Kind,Subcategory Name,Elements of Subcategory,Specific Text from Privacy Policy
We (TikTok),Date of Birth,Personally Identifiable Information,Information You Provide,Basic Personal Details,Date of Birth,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Username,Personally Identifiable Information,Information You Provide,Basic Personal Details,Username,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Email Address,Personally Identifiable Information,Information You Provide,Basic Personal Details,Email Address,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Telephone Number,Personally Identifiable Information,Information You Provide,Basic Personal Details,Telephone Number,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Password,Basic Personal Details,Information You Provide,Basic Personal Details,Password,"We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password."
We (TikTok),Bio,Personally Identifiable Information,Information You Provide,Profile Information,Bio,"You can add other information to your profile, such as a bio or a profile photo."
We (TikTok),Profile Photo,Personally Identifiable Information,Information You Provide,Profile Information,Profile Photo,"You can add other information to your profile, such as a bio or a profile photo."
We (TikTok),Photographs,User-Generated Content,Information You Provide,Media Content,Photographs,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Videos,User-Generated Content,Information You Provide,Media Content,Videos,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Audio Recordings,User-Generated Content,Information You Provide,Media Content,Audio Recordings,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Livestreams,User-Generated Content,Information You Provide,Media Content,Livestreams,"We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams."
We (TikTok),Comments,User-Generated Content,Information You Provide,Textual Content,Comments,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Hashtags,User-Generated Content,Information You Provide,Textual Content,Hashtags,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Feedback,User-Generated Content,Information You Provide,Textual Content,Feedback,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Reviews,User-Generated Content,Information You Provide,Textual Content,Reviews,"We collect the content you create or publish through the Platform, such as comments, hashtags, feedback, reviews."
We (TikTok),Content Metadata,User-Generated Content,Information You Provide,Content Metadata,"When, where, and by whom the content was created","We collect the associated metadata (such as when, where, and by whom the content was created)."
We (TikTok),Clipboard Text,User-Generated Content,Information You Provide,Clipboard Content,Text from device's clipboard,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Clipboard Images,User-Generated Content,Information You Provide,Clipboard Content,Images from device's clipboard,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Clipboard Videos,User-Generated Content,Information You Provide,Clipboard Content,Videos from device's clipboard,"We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform."
We (TikTok),Location Tags in Content,Location Data,Information You Provide,Location Tags in Content,"Tagged locations in posts (e.g., tourist attractions, shops)","In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content."
We (TikTok),Direct Message Content,Communication Data,Information You Provide,Direct Messages,Content of the message,"If you communicate with others using direct messages, we collect the content of the message."
We (TikTok),Direct Message Metadata,Communication Data,Information You Provide,Direct Messages,"Time sent, received, read; participants","...and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication)."
We (TikTok),Merchant Communications,Communication Data,Information You Provide,Merchant Communications,Messages with merchants,We also collect the messages you send or receive through our chat functionality when communicating with merchants who sell goods to you.
We (TikTok),Virtual Assistant Interactions,Communication Data,Information You Provide,Merchant Communications,Interactions with virtual assistants during purchases,...and your use of virtual assistants when purchasing items through the Platform.
We (TikTok),Names from Phone Book,Contact Information,Information You Provide,Device Contacts,Names from your device’s phone book,"If you choose to sync your contacts, we will collect information from your device’s phone book such as names."
We (TikTok),Phone Numbers from Phone Book,Contact Information,Information You Provide,Device Contacts,Phone numbers from your device’s phone book,"If you choose to sync your contacts, we will collect information from your device’s phone book such as... phone numbers."
We (TikTok),Email Addresses from Phone Book,Contact Information,Information You Provide,Device Contacts,Email addresses from your device’s phone book,"If you choose to sync your contacts, we will collect information from your device’s phone book such as... email addresses."
We (TikTok),Your Social Network Public Profile Information,Contact Information,Information You Provide,Social Network Contacts,Your public profile information from social networks,"If you choose to find other users through your social network contacts, we will collect your public profile information."
We (TikTok),Names of Social Network Contacts,Contact Information,Information You Provide,Social Network Contacts,Names of your social network contacts,...as well as names and profiles of your social network contacts.
We (TikTok),Profiles of Social Network Contacts,Contact Information,Information You Provide,Social Network Contacts,Profiles of your social network contacts,...as well as names and profiles of your social network contacts.
We (TikTok),Contacts Provided by Others,Contact Information,Information You Provide,Contacts Provided by Others,Your contact information synced by other users,We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
We (TikTok),Payment Card Information,Transaction and Financial Information,Information You Provide,Payment Information,Payment card details,"When you make a purchase or payment on or through the Platform, including when you buy TikTok Coins or purchase goods through our shopping features, we collect information about the purchase or payment transaction, such as payment card information."
We (TikTok),Billing Information,Transaction and Financial Information,Information You Provide,Payment Information,Billing information,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... billing."
We (TikTok),Delivery Information,Transaction and Financial Information,Information You Provide,Delivery Information,Delivery information,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... delivery."
We (TikTok),Contact Information (Purchases),Transaction and Financial Information,Information You Provide,Purchase Details,Contact information for purchases,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... contact information."
We (TikTok),Items Purchased,Transaction and Financial Information,Information You Provide,Purchase Details,Items you purchased,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... items you purchased."
We (TikTok),Survey Responses,User-Generated Content,Information You Provide,Survey Responses,Responses to surveys,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Research Participation Data,User-Generated Content,Information You Provide,Survey Responses,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.",
We (TikTok),Contest Entries,User-Generated Content,Information You Provide,Survey Responses,Entries to contests,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Marketing Campaign Participation,User-Generated Content,Information You Provide,Survey Responses,Participation in marketing campaigns or events,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Event Participation,User-Generated Content,Information You Provide,Survey Responses,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.",
We (TikTok),Proof of Identity,Personally Identifiable Information,Information You Provide,Identification Documents,Proof of identity,"When you contact us, we collect the information you send us, such as proof of identity."
We (TikTok),Proof of Age,Personally Identifiable Information,Information You Provide,Identification Documents,Proof of age,"When you contact us, we collect the information you send us, such as proof of... age."
We (TikTok),Feedback or Inquiries,Communication Data,Information You Provide,Support and Feedback,Feedback or inquiries about your use of the Platform,"When you contact us, we collect the information you send us, such as... feedback or inquiries about your use of the Platform."
We (TikTok),Information about Possible Violations,Communication Data,Information You Provide,Support and Feedback,Information about possible violations of our Terms,"When you contact us, we collect the information you send us, such as... information about possible violations of our Terms of Service."
We (TikTok),Form Data,User-Generated Content,Information You Provide,Form Data,Information entered into forms on the Platform,We collect the Information You Provide when you fill in a form on the Platform.
We (TikTok),Device Model,Device and Technical Information,Automatically Collected Information,Device Information,Device model,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Operating System,Device and Technical Information,Automatically Collected Information,Device Information,Operating system,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Keystroke Patterns or Rhythms,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Keystroke patterns or rhythms,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),IP Address,Device and Technical Information,Automatically Collected Information,Network Information,IP address,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),System Language,Device and Technical Information,Automatically Collected Information,Device Information,System language,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Crash Reports,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Crash reports,"We also collect service-related, diagnostic, and performance information, including crash reports."
We (TikTok),Performance Logs,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Performance logs,"We also collect service-related, diagnostic, and performance information, including... performance logs."
