"EdgeBetweenness","interaction","name","relationship","selected","shared interaction","shared name","text"
"71.0","-","we (-) relate information","COLLECT","false","-","we (-) relate information","We also collect service-related, diagnostic, and performance information, including crash reports and performance logs.
We also collect service-related, diagnostic, and performance information, including crash reports and performance logs."
"71.0","-","we (-) device identifier","COLLECT","false","-","we (-) device identifier","Where you log-in from multiple devices, we use information such as your device ID and user ID to identify your activity across devices to give you a seamless log-in experience and for security purposes.
Where you log-in from multiple devices, we use information such as your device ID and user ID to identify your activity across devices to give you a seamless log-in experience and for security purposes."
"71.0","-","we (-) personal identifier","COLLECT","false","-","we (-) personal identifier","Where you log-in from multiple devices, we use information such as your device ID and user ID to identify your activity across devices to give you a seamless log-in experience and for security purposes.
Where you log-in from multiple devices, we use information such as your device ID and user ID to identify your activity across devices to give you a seamless log-in experience and for security purposes.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"71.0","-","we (-) coarse geolocation","COLLECT","false","-","we (-) coarse geolocation","Also, where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device.
Also, where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device."
"71.0","-","we (-) information about","COLLECT","false","-","we (-) information about","We collect information about how you engage with the Platform, including information about the content you view, the duration and frequency of your use, your engagement with other users, your search history and your settings.
We collect information about how you engage with the Platform, including information about the content you view, the duration and frequency of your use, your engagement with other users, your search history and your settings."
"71.0","-","we (-) characteristic","COLLECT","false","-","we (-) characteristic","We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content , for example, by identifying objects and scenery, the existence or location within an image of a face or other body parts; and the text of words spoken in your User Content .
We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content , for example, by identifying objects and scenery, the existence or location within an image of a face or other body parts; and the text of words spoken in your User Content ."
"71.0","-","we (-) inference","COLLECT","false","-","we (-) inference","We use inferences, for example, to keep the Platform safe, for content moderation and, where permitted, to serve you personalised ads based on your interests.
We use inferences, for example, to keep the Platform safe, for content moderation and, where permitted, to serve you personalised ads based on your interests."
"71.0","-","we (-) advertising id","COLLECT","false","-","we (-) advertising id","These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account."
"71.0","-","we (-) information about you","COLLECT","false","-","we (-) information about you","We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details, and information about the delivery of products you have purchased through our shopping features.
We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details, and information about the delivery of products you have purchased through our shopping features.
We may collect or receive information about you from organisations, businesses, people, and others, including, for example, publicly available sources, government authorities, professional organisations, and charity groups.
We may collect or receive information about you from organisations, businesses, people, and others, including, for example, publicly available sources, government authorities, professional organisations, and charity groups.
We also collect information about you where you are included or mentioned in User Content, Direct Messages, in a complaint, appeal, request or feedback submitted by a user or third party, or if your contact information is provided to us by a user.
We also collect information about you where you are included or mentioned in User Content, Direct Messages, in a complaint, appeal, request or feedback submitted by a user or third party, or if your contact information is provided to us by a user."
"71.0","-","we (-) public profile","COLLECT","false","-","we (-) public profile","Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"71.0","-","we (-) contact information","COLLECT","false","-","we (-) contact information","We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
For example, we will share the order items, contact details and delivery information so your order can be processed.
For example, we will share the order items, contact details and delivery information so your order can be processed."
"71.0","-","we (-) basic account information","COLLECT","false","-","we (-) basic account information","Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,
Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,"
"71.0","-","we (-) aggregate / deidentified / pseudonymized information","COLLECT","false","-","we (-) aggregate / deidentified / pseudonymized information","We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness.
We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness."
"63.0","-","advertiser (-) aggregate / deidentified / pseudonymized information","COLLECT","false","-","advertiser (-) aggregate / deidentified / pseudonymized information","We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness.
We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness."
"71.0","-","we (-) purchase information relate to transaction","COLLECT","false","-","we (-) purchase information relate to transaction","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers.
When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"63.0","-","advertiser (-) UNSPECIFIED_DATA","COLLECT","false","-","advertiser (-) UNSPECIFIED_DATA","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
We share your information directly with advertisers where you give us your permission.
We share your information directly with advertisers where you give us your permission."
"71.0","-","we (-) order item","COLLECT","false","-","we (-) order item","For example, we will share the order items, contact details and delivery information so your order can be processed.
For example, we will share the order items, contact details and delivery information so your order can be processed."
"63.0","-","advertiser (-) information you provide","COLLECT","false","-","advertiser (-) information you provide","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"71.0","-","we (-) delivery information","COLLECT","false","-","we (-) delivery information","For example, we will share the order items, contact details and delivery information so your order can be processed.
For example, we will share the order items, contact details and delivery information so your order can be processed."
"63.0","-","advertiser (-) technical information","COLLECT","false","-","advertiser (-) technical information","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"71.0","-","we (-) technical information about device","COLLECT","false","-","we (-) technical information about device","We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction.
We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction."
"63.0","-","advertiser (-) usage information","COLLECT","false","-","advertiser (-) usage information","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"71.0","-","we (-) aggregate statistic","COLLECT","false","-","we (-) aggregate statistic","We provide aggregated statistics and insights to help people and businesses understand how people are engaging with the Platform.
We provide aggregated statistics and insights to help people and businesses understand how people are engaging with the Platform."
"63.0","-","advertiser (-) information about number of view of video","COLLECT","false","-","advertiser (-) information about number of view of video","For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos.
For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"71.0","-","we (-) information describe in","COLLECT","false","-","we (-) information describe in","We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:
We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:"
"63.0","-","advertiser (-) aggregate demographic information about follower","COLLECT","false","-","advertiser (-) aggregate demographic information about follower","For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos.
For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"71.0","-","we (-) ip address","COLLECT","false","-","we (-) ip address","For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone's life or safety is at risk,
For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone's life or safety is at risk,"
"71.0","-","we (-) information we have","COLLECT","false","-","we (-) information we have","We also use the information we have to administer the Platform, such as to communicate with you on service related matters, provide you with updates and support regarding any purchase you make on or through the Platform, and respond to and process your queries, claims or disputes (including when you tell us about a problem, or ask for a copy of your information).
We also use the information we have to administer the Platform, such as to communicate with you on service related matters, provide you with updates and support regarding any purchase you make on or through the Platform, and respond to and process your queries, claims or disputes (including when you tell us about a problem, or ask for a copy of your information).
We use the information we have to understand how people are using the Platform and to develop, test, and make improvements to the Platform, including to develop and improve our technology, such as our machine learning models and algorithms.
We use the information we have to understand how people are using the Platform and to develop, test, and make improvements to the Platform, including to develop and improve our technology, such as our machine learning models and algorithms.
We also use this information to better understand and promote the Platform, popular topics, and emerging trends.
- We use the information we have to administer the Platform, such as to communicate with users and respond to and process queries, claims or disputes (including when you tell us about a problem, or ask for a copy of your information).
- We use the information we have to administer the Platform, such as to communicate with users and respond to and process queries, claims or disputes (including when you tell us about a problem, or ask for a copy of your information)."
"66.0","-","UNSPECIFIED_ACTOR (-) UNSPECIFIED_DATA","COLLECT","false","-","UNSPECIFIED_ACTOR (-) UNSPECIFIED_DATA","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
Share your information with third party platforms to provide you with features, like content sharing at your request when you integrate your TikTok account with a third party service.
Share your information with third party platforms to provide you with features, like content sharing at your request when you integrate your TikTok account with a third party service.
Your information may be disclosed to third parties in connection with a corporate transaction, such as a merger, sale of assets or shares, reorganisation, financing, change of control, or acquisition of all or a portion of our business.
Your information may be disclosed to third parties in connection with a corporate transaction, such as a merger, sale of assets or shares, reorganisation, financing, change of control, or acquisition of all or a portion of our business.
Share your information with third parties .
Share your information with third parties .
We share your information with third parties whose platforms or services are integrated with the Platform.
We share your information with third parties whose platforms or services are integrated with the Platform."
"71.0","-","we (-) information we collect","COLLECT","false","-","we (-) information we collect","We use the information we collect to:
We use the information we collect to:
If you are under the age of majority (under 18 in most relevant countries), with a limited ability to enter into an enforceable contract only, where we may be unable to process your information on the grounds of contractual necessity, we rely on legitimate interests and use the information we collect to:
If you are under the age of majority (under 18 in most relevant countries), with a limited ability to enter into an enforceable contract only, where we may be unable to process your information on the grounds of contractual necessity, we rely on legitimate interests and use the information we collect to:"
"66.0","-","UNSPECIFIED_ACTOR (-) cookie / pixel tag","COLLECT","false","-","UNSPECIFIED_ACTOR (-) cookie / pixel tag","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account."
"71.0","-","we (-) category of information","COLLECT","false","-","we (-) category of information","We process limited categories of your information to make sure our advertising service is useful to our advertisers (for example, to serve ads to users in a particular country or to users who speak the same language).
We process limited categories of your information to make sure our advertising service is useful to our advertisers (for example, to serve ads to users in a particular country or to users who speak the same language)."
"66.0","-","UNSPECIFIED_ACTOR (-) advertising id","COLLECT","false","-","UNSPECIFIED_ACTOR (-) advertising id","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account."
"71.0","-","we (-) information about processing","COLLECT","false","-","we (-) information about processing","You can ask us, free of charge, to confirm what information we process about you, to provide certain information about the processing, and for a copy of your information.
You can ask us, free of charge, to confirm what information we process about you, to provide certain information about the processing, and for a copy of your information."
"66.0","-","UNSPECIFIED_ACTOR (-) email address","COLLECT","false","-","UNSPECIFIED_ACTOR (-) email address","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"71.0","-","we (-) information describe in information we collect section","COLLECT","false","-","we (-) information describe in information we collect section","To support our global operations: We store the information described in the "" What Information We Collect "" section in servers located in the United States, Malaysia and Singapore.
To support our global operations: We store the information described in the "" What Information We Collect "" section in servers located in the United States, Malaysia and Singapore."
"66.0","-","UNSPECIFIED_ACTOR (-) phone number","COLLECT","false","-","UNSPECIFIED_ACTOR (-) phone number","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account."
"73.0","-","law enforcement agency (-) information describe in","COLLECT","false","-","law enforcement agency (-) information describe in","We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:
We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:"
"66.0","-","UNSPECIFIED_ACTOR (-) personal identifier","COLLECT","false","-","UNSPECIFIED_ACTOR (-) personal identifier","Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"66.0","-","UNSPECIFIED_ACTOR (-) public profile","COLLECT","false","-","UNSPECIFIED_ACTOR (-) public profile","Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"1.0","-","country with adequacy decision (-) UNSPECIFIED_DATA","COLLECT","false","-","country with adequacy decision (-) UNSPECIFIED_DATA","We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or
We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or"
"66.0","-","UNSPECIFIED_ACTOR (-) usage information","COLLECT","false","-","UNSPECIFIED_ACTOR (-) usage information","We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
"66.0","-","UNSPECIFIED_ACTOR (-) technical information","COLLECT","false","-","UNSPECIFIED_ACTOR (-) technical information","We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
"66.0","-","UNSPECIFIED_ACTOR (-) information you provide","COLLECT","false","-","UNSPECIFIED_ACTOR (-) information you provide","We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
